Acton	34.472777	-118.183696	2438
Adelanto	34.57599	-117.432713	28403
Adin-Lookout	41.306167	-121.203467	789
Agoura Hills	34.153365	-118.761805	22180
Alameda	37.763971	-122.25681	71204
Alamo	37.858988	-122.032722	16566
Albany	37.891575	-122.295923	16148
Alhambra	34.081859	-118.135052	85068
Aliso Viejo	33.575096	-117.725431	41835
Alondra Park	33.890915	-118.334297	8795
Alpaugh	35.888674	-119.486579	859
Alpine	32.834563	-116.770615	13843
Alta Sierra	39.128952	-121.052442	6834
Altadena	34.188605	-118.134795	43467
Alturas	41.488814	-120.545935	2748
Alum Rock	37.36759	-121.825473	13783
Amador City	38.418092	-120.824342	206
American Canyon	38.168059	-122.252589	16625
Amesti	36.95921	-121.782131	2381
Anaheim	33.836165	-117.889769	337896
Anderson	40.452092	-122.29656	10681
Angels City	38.073523	-120.54915	3483
Angwin	38.574506	-122.448072	3335
Antioch	37.992421	-121.802225	101182
Anza-Borrego Springs	33.130646	-116.312247	3373
Apple Valley	34.511486	-117.21201	70109
Aptos Hills-Larkin Valley	36.96086	-121.831386	3113
Aptos	36.9815	-121.907432	9186
Arbuckle	39.018435	-122.0593	2613
Arcadia	34.132688	-118.036491	56202
Arcata	40.872805	-124.082814	17132
Arden-Arcade	38.605154	-121.37975	110040
Armona	36.312673	-119.708239	3684
Arnold	38.252601	-120.347543	4856
Aromas	36.886988	-121.641396	2832
Arrowhead	34.264756	-117.259001	28450
Arroyo Grande	35.120878	-120.586799	17238
Artesia	33.867215	-118.080622	16182
Arvin	35.204638	-118.832194	15185
Ashland	37.69463	-122.116433	20775
Atascadero	35.484283	-120.672486	28307
Atherton	37.458615	-122.200099	7501
Atwater	37.354245	-120.603019	26198
Auberry	37.077754	-119.494591	2279
Auburn	38.898671	-121.074399	13352
August	37.97989	-121.263984	9145
Avalon	33.340941	-118.327821	3094
Avenal	36.025086	-120.120605	16352
Avery	38.195652	-120.366719	773
Avocado Heights	34.03861	-118.004575	15452
Azusa	34.130657	-117.906869	46672
Bakersfield	35.357276	-119.031661	324463
Baldwin Park	34.082809	-117.971677	77078
Banning	33.931729	-116.897557	28988
Barstow	34.876259	-117.034818	24528
Bay Point	38.027719	-121.956089	22829
Bayview-Montalvin	38.000805	-122.325242	5283
Bayview	40.767795	-124.181276	2399
Baywood-Los Osos	35.316795	-120.835605	14861
Beale AFB	39.106035	-121.341484	5202
Bear Valley Springs	35.169783	-118.644987	5005
Beaumont	33.924093	-116.973734	33449
Beckwourth	39.827528	-120.40371	339
Bell Gardens	33.968181	-118.156039	44581
Bellflower	33.888165	-118.127604	72862
Bell	33.978414	-118.182908	36552
Belmont	37.518087	-122.291673	24918
Belvedere	37.874559	-122.465823	2057
Ben Lomond	37.08278	-122.083626	2311
Benicia	38.06336	-122.156158	26180
Berkeley	37.871775	-122.274603	102822
Bermuda Dunes	33.744503	-116.285241	8213
Berryessa	38.606573	-122.27759	1732
Bertsch-Oceanview	41.753811	-124.160784	2237
Bethel Island	38.022778	-121.629106	2451
Beverly Hills	34.073109	-118.39946	34318
Big Bear City	34.262695	-116.844618	6702
Big Bear Lake	34.241295	-116.903289	6142
Big Bear	34.233695	-116.912437	28837
Big Pine	37.165377	-118.296321	1313
Big River	34.134021	-114.369782	1468
Big Valley	40.885057	-121.06102	1599
Biggs	39.41382	-121.710316	1815
Biola	36.802534	-120.019025	1151
Bishop	37.365087	-118.394896	3428
Black Point-Green Point	38.109837	-122.503561	1211
Blackhawk-Camino Tassajara	37.810003	-121.913992	9778
Bloomington	34.059462	-117.398728	22403
Blue Lake	40.880566	-123.989028	1115
Bluewater	34.180214	-114.250531	307
Blythe	33.617157	-114.589241	16028
Bodega Bay	38.324356	-123.038591	1426
Bodfish	35.589246	-118.481859	2156
Bolinas	37.902426	-122.699503	1238
Bombay Beach	33.351726	-115.729073	412
Bonadelle Ranchos-Madera Ranchos	36.936378	-119.886723	8059
Bonita	32.65842	-117.035336	13062
Bonsall	33.27963	-117.193489	3582
Bootjack	37.460216	-119.882591	1663
Boronda	36.697797	-121.671204	1321
Boron	35.015177	-117.660799	2394
Borrego Springs	33.247113	-116.371969	2670
Bostonia	32.821612	-116.949905	15978
Boulder Creek	37.131487	-122.124398	3989
Bowles	36.604499	-119.752246	202
Boyes Hot Springs	38.311068	-122.483973	6679
Bradbury	34.149306	-117.974319	1069
Brawley	32.977034	-115.536275	23342
Brea	33.923339	-117.888924	38452
Brentwood	37.935311	-121.709536	49708
Bret Harte	37.603182	-121.005844	5730
Briones	37.960471	-122.22265	6817
Brisbane	37.684932	-122.398951	3704
Broadmoor	37.692433	-122.478901	3963
Buellton	34.614136	-120.193798	4306
Buena Park	33.856214	-118.004169	79814
Buena Vista	37.321226	-121.916311	1742
Burbank	34.18017	-118.328341	103121
Burlingame	37.583235	-122.363691	27890
Burney	40.880655	-121.66675	3522
Butte Valley	41.872959	-121.946989	1883
Buttonwillow	35.40906	-119.44291	1497
Byron	37.871675	-121.639028	971
Bystrom	37.619981	-120.97979	5087
Cabazon	33.909086	-116.766373	2939
Calabasas	34.138363	-118.660917	22095
Calexico	32.678246	-115.497997	38827
California City	35.161119	-117.873033	14718
Calimesa	33.988116	-117.042918	7552
Calipatria	33.1262	-115.51251	7685
Calistoga	38.581357	-122.582757	5250
Calwa	36.680749	-119.733978	846
Camarillo	34.225607	-119.032207	63948
Cambrian Park	37.255593	-121.928915	3331
Cambria	35.55403	-121.087394	6579
Cameron Park	38.676521	-120.989406	16272
Camp Pendleton North	33.304869	-117.306125	8351
Camp Pendleton South	33.21662	-117.390989	9020
Campbell	37.283909	-121.955026	38889
Cantua Creek	36.505318	-120.315835	727
Canyon Lake	33.684203	-117.255623	11212
Capitola	36.97625	-121.95475	9781
Carlsbad	33.12199	-117.296811	98402
Carmel Valley Village	36.477473	-121.729832	4688
Carmel Valley	36.450348	-121.697268	6266
Carmel-by-the-Sea	36.554552	-121.921174	3903
Carmel	36.542186	-121.906295	15677
Carmichael	38.639431	-121.321348	55541
Carpinteria Valley	34.404244	-119.530605	19142
Carpinteria	34.399044	-119.516442	13764
Carson	33.839684	-118.259588	92255
Caruthers	36.540356	-119.836637	2335
Casa Conejo	34.186238	-118.944701	3320
Casa de Oro-Mount Helix	32.763359	-116.977474	19705
Castro Valley	37.703796	-122.079384	57244
Castroville	36.764915	-121.753504	6708
Cathedral City	33.807761	-116.464731	52436
Cayucos	35.43839	-120.890647	3107
Central Colusa	39.154872	-122.132455	10807
Central Shasta	40.696454	-121.904342	11467
Ceres	37.601328	-120.957166	42667
Cerritos	33.868314	-118.067547	51113
Challenge-Brownsville	39.472574	-121.265028	1411
Channel Islands Beach	34.157654	-119.222639	3280
Charter Oak	34.101308	-117.857656	9208
Cherry Valley	33.974848	-116.9703	7768
Cherryland	37.679831	-122.102274	13825
Chester	40.302395	-121.234672	2298
Chico	39.739983	-121.83546	64015
Chilcoot-Vinton	39.800609	-120.144398	418
China Lake Acres	35.643513	-117.764261	2082
Chino Hills	33.975267	-117.723054	73889
Chino	34.017765	-117.68999	82830
Chowchilla	37.117921	-120.261692	13077
Chualar	36.570034	-121.515511	1440
Chuckwalla	33.888191	-115.157357	14948
Chula Vista	32.62791	-117.047988	223738
Citrus Heights	38.694702	-121.290548	84619
Citrus	34.114891	-117.891786	10794
Claremont	34.110009	-117.719734	35419
Clarksburg	38.383366	-121.578192	1567
Clayton	37.940723	-121.934194	11431
Clearlake Oaks	39.021761	-122.668791	2651
Clearlake	38.952773	-122.63112	15153
Cloverdale-Geyserville	38.754022	-122.94062	12805
Cloverdale	38.799059	-123.017316	8220
Clovis	36.819432	-119.694723	93246
Clyde	38.02672	-122.029545	735
Coachella	33.679522	-116.174488	40158
Coalinga	36.140734	-120.358301	12955
Coastal	36.246226	-121.752367	1177
Cobb	38.835146	-122.722348	1808
Colfax-Summit	39.200273	-120.745031	24007
Colfax	39.09726	-120.954017	1878
Colma	37.67878	-122.455513	1429
Colton	34.064945	-117.321687	50495
Columbia	38.033881	-120.401172	2450
Colusa	39.209354	-122.010436	5907
Commerce	34.000613	-118.154781	13396
Compton	33.896715	-118.225078	93970
Concord	37.967825	-122.015135	122224
Concow	39.737113	-121.514461	1169
Copperopolis	37.935144	-120.62746	2720
Corcoran	36.096018	-119.56448	16446
Corning	39.926182	-122.180489	7280
Coronado	32.67819	-117.172581	22225
Corona	33.869998	-117.567783	151037
Corralitos	36.991303	-121.802013	2376
Corte Madera	37.924075	-122.516942	9290
Costa Mesa	33.664969	-117.912289	110420
Cotati	38.328247	-122.706713	7234
Coto de Caza	33.595925	-117.587665	13521
Cottonwood	40.388953	-122.281823	3241
Coulterville	37.70241	-120.164099	2969
Country Club	37.970723	-121.334988	11082
Covelo	39.805632	-123.255254	1163
Covina	34.091609	-117.879193	46781
Crescent City North	41.7627	-124.208602	3997
Crescent City	41.754821	-124.201206	4191
Crescent Mills	40.096329	-120.912872	256
Crestline	34.242456	-117.289899	11850
Crest	32.805918	-116.867405	2860
Crockett	38.05282	-122.2234	3386
Cromberg	39.868589	-120.707044	287
Cudahy	33.964214	-118.182575	24279
Culver City	34.007761	-118.400905	38422
Cupertino	37.317492	-122.041949	54278
Cutler	36.524791	-119.288991	5070
Cutten	40.763351	-124.146775	2983
Cuyama	34.871138	-119.802548	1351
Cypress	33.818315	-118.039045	47290
Daly City	37.6907	-122.46595	102165
Dana Point	33.47221	-117.693038	35851
Danville	37.811476	-121.974192	41556
Davis	38.553856	-121.738095	62947
Day Valley	37.00882	-121.856544	3506
Death Valley	36.037118	-116.173275	620
Deer Park	38.537257	-122.472386	1518
Del Aire	33.916138	-118.369282	9193
Del Mar	32.96178	-117.264517	4543
Del Monte Forest	36.59081	-121.946105	4520
Del Rey Oaks	36.59506	-121.839043	1540
Del Rey	36.657195	-119.594672	1054
Del Rio	37.746449	-121.011604	1315
Delano	35.769649	-119.24632	52802
Delhi	37.431649	-120.780832	9192
Delleker	39.811343	-120.497651	668
Delta	38.192446	-121.579623	5393
Denair	37.527532	-120.799813	3880
Derby Acres	35.247512	-119.596825	444
Desert Hot Springs	33.960996	-116.508073	24344
Desert Shores	33.403148	-116.040706	891
Desert View Highlands	34.589738	-118.153512	2384
Diablo Range	37.261163	-121.536153	837
Diablo	37.835451	-121.957588	1047
Diamond Bar	34.001652	-117.820761	57105
Diamond Springs	38.685028	-120.823987	5467
Dillon Beach	38.237548	-122.961637	317
Dinuba	36.544898	-119.38926	20792
Discovery Bay	37.906386	-121.606622	9521
Dixon Lane-Meadow Creek	37.383237	-118.417027	3210
Dixon	38.449108	-121.826872	17400
Dollar Point	39.188639	-120.108848	2032
Donner	39.364039	-120.274988	15187
Dorrington	38.301509	-120.273381	836
Dorris	41.965075	-121.918967	838
Dos Palos	36.986444	-120.631989	4898
Downey	33.938164	-118.130801	107117
Duarte	34.140416	-117.961678	21782
Dublin	37.714229	-121.912496	44540
Ducor	35.892176	-119.048079	569
Dunsmuir	41.221542	-122.273011	1792
Durham	39.640086	-121.797797	5573
Dustin Acres	35.215207	-119.381181	691
Earlimart	35.882551	-119.269866	7432
East Colusa	39.203819	-121.991274	9242
East Compton	33.897748	-118.194093	9472
East Contra Costa	37.950544	-121.691944	78216
East Foothills	37.383989	-121.822396	8316
East Hemet	33.73612	-116.940305	19546
East Imperial	33.054919	-114.992495	1854
East Kern	35.177231	-117.969099	82330
East La Mirada	33.924403	-117.988975	9730
East Los Angeles	34.031462	-118.168653	126785
East Oakdale	37.793528	-120.806669	3087
East Orosi	36.547572	-119.261243	480
East Palo Alto	37.467038	-122.139699	33899
East Pasadena	34.140057	-118.07765	6166
East Porterville	36.056101	-118.983836	7598
East Quincy	39.935153	-120.90767	2379
East Richmond Heights	37.944256	-122.314001	3558
East San Gabriel	34.119149	-118.082053	14804
East Shasta	40.935982	-121.570798	9034
East Sierra	39.607469	-120.324078	2320
East Sonora-Phoenix Lake	37.991794	-120.305747	12973
East Sonora	37.980561	-120.347961	2117
East Tehama	40.252829	-121.757929	4190
East Yolo	38.575255	-121.542311	36296
Easton	36.651649	-119.789844	2182
Edwards AFB	34.921701	-117.933043	6464
El Cajon	32.7983	-116.960055	94447
El Centro	32.788139	-115.557966	41241
El Cerrito	37.917424	-122.305029	22363
El Dorado Hills	38.688223	-121.078461	20150
El Granada	37.503766	-122.47323	5635
El Monte	34.073276	-118.027491	121446
El Paso de Robles (Paso Robles)	35.627006	-120.677988	28677
El Rio	34.239197	-119.158754	6465
El Segundo	33.921313	-118.406233	16182
El Sobrante	37.968535	-122.295883	12997
El Toro	33.682788	-117.750397	178968
El Verano	38.299201	-122.488048	3962
Eldridge	38.342063	-122.512042	1537
Elk Grove	38.438222	-121.381925	66978
Elkhorn	36.810806	-121.718531	1587
Elmira	38.35011	-121.90799	209
Elsinore Valley	33.693726	-117.383743	93311
Emerald Lake Hills	37.464388	-122.266389	3838
Emeryville	37.835926	-122.287253	9859
Empire	37.644298	-120.907592	4395
Encinitas	33.044442	-117.271694	61593
Escalon	37.794055	-120.995022	7333
Escondido	33.124794	-117.08085	140170
Esparto	38.692938	-122.018981	2120
Etna	41.45735	-122.896875	766
Eureka	40.790022	-124.162752	25247
Exeter	36.294213	-119.142746	9973
Fair Oaks	38.651254	-121.259279	31273
Fairbanks Ranch	32.995786	-117.183106	2363
Fairfax	37.986023	-122.592823	7099
Fairfield	38.257763	-122.054256	103586
Fairview	37.677664	-122.053088	9462
Fall River Mills	41.00576	-121.440946	709
Fallbrook	33.371691	-117.236125	30652
Farmersville	36.301169	-119.207603	10078
Farmington	37.929625	-120.999574	306
Feather Falls	39.656237	-121.34293	5093
Felton	37.051498	-122.055753	1027
Ferndale	40.579066	-124.263219	1384
Fetters Hot Springs-Agua Caliente	38.322013	-122.486169	2547
Fillmore	34.401276	-118.917749	15220
Firebaugh	36.856148	-120.453998	6376
Florence-Graham	33.969364	-118.243881	67215
Florin	38.490157	-121.410862	30877
Folsom	38.672127	-121.157838	67807
Fontana	34.097744	-117.458222	149525
Foothill Farms	38.681736	-121.347795	19457
Foothill Ranch	33.688524	-117.664281	11286
Ford City	35.15675	-119.458148	4153
Forest Meadows	38.169797	-120.398058	1378
Foresthill-Back Country	39.093543	-120.658215	7652
Foresthill	39.019562	-120.836085	2365
Forestville	38.481762	-122.896215	2375
Fort Bragg	39.442155	-123.802463	6580
Fort Jones	41.607303	-122.841817	647
Fortuna	40.586742	-124.146101	11355
Foster City	37.551285	-122.266382	29259
Fountain Valley	33.708618	-117.956295	55844
Fowler	36.6275	-119.676325	5586
Frazier Park	34.822242	-118.948251	2776
Freedom	36.940452	-121.789376	5866
Fremont	37.542943	-121.982786	205514
French Camp	37.882742	-121.279788	4812
French Gulch	40.705313	-122.635174	278
Fresno	36.781549	-119.792113	479921
Friant	36.984049	-119.715904	576
Fruitdale	37.312743	-121.935837	915
Fullerton	33.879914	-117.928749	132620
Galt	38.260842	-121.303122	24059
Garberville	40.243516	-123.91144	12402
Garden Acres	37.961373	-121.231345	11416
Garden Grove	33.778766	-117.960267	166332
Gardena	33.893615	-118.307841	58363
Georgetown	38.908317	-120.834453	1075
Gerber-Las Flores	40.059757	-122.151299	1392
Gilroy	37.012048	-121.58008	50207
Glen Avon	34.017313	-117.491855	19585
Glen Ellen	38.364564	-122.531085	994
Glendale	34.170939	-118.250081	196847
Glendora	34.130957	-117.854127	49737
Gold River	38.623392	-121.247845	8958
Golden Hills	35.14568	-118.494549	8792
Goleta	34.440493	-119.813608	55302
Gonzales	36.508713	-121.442644	8724
Goshen	36.347447	-119.420015	2702
Graeagle	39.764319	-120.623262	824
Grand Terrace	34.031019	-117.316683	12189
Granite Bay	38.748504	-121.179793	25606
Granite Hills	32.804101	-116.910522	3419
Grass Valley	39.219215	-121.058414	12298
Graton	38.437613	-122.866375	1818
Grayson	37.564732	-121.180914	1212
Green Valley	38.259313	-122.164441	1901
Greenfield-Panama	35.250047	-119.087904	20776
Greenfield	36.323156	-121.244718	15362
Greenville	40.140069	-120.951268	1151
Grenada	41.644438	-122.522768	350
Gridley	39.362728	-121.698016	6438
Groveland-Big Oak Flat	37.845867	-120.207697	3577
Groveland	37.768407	-120.335094	4877
Grover Beach	35.120934	-120.619529	13200
Guadalupe	34.965588	-120.573089	6594
Guerneville	38.506349	-122.990834	2446
Gustine	37.253867	-121.001101	5098
Hacienda Heights	34.000578	-117.969434	54191
Half Moon Bay	37.45884	-122.436848	12586
Hamilton Branch	40.274001	-121.095899	582
Hamilton City	39.742153	-122.012748	2004
Hanford	36.333273	-119.646889	50053
Happy Camp	41.787587	-123.247176	2181
Harbison Canyon	32.821101	-116.840051	3839
Hawaiian Gardens	33.828565	-118.073646	15186
Hawthorne	33.917214	-118.348607	83945
Hayfork	40.571406	-123.146619	2480
Hayward	37.643632	-122.076971	144289
Healdsburg	38.617593	-122.866413	11143
Heber	32.731127	-115.528041	3365
